YEAR;cod_distrito;distrito;indicador_nivel1;indicador_nivel2;valor_indicador
2020;15;CIUDAD LINEAL;Número de Habitantes;Mujeres;118812
2021;15;CIUDAD LINEAL;Número de Habitantes;TOTAL;217816
2021;15;CIUDAD LINEAL;Número de Habitantes;Hombres;99004
2021;15;CIUDAD LINEAL;Número de Habitantes;Mujeres;118812
2022;15;CIUDAD LINEAL;Número de Habitantes;TOTAL;213905
2022;15;CIUDAD LINEAL;Número de Habitantes;Hombres;97357
2022;15;CIUDAD LINEAL;Número de Habitantes;Mujeres;116548
2023;15;CIUDAD LINEAL;Número de Habitantes;TOTAL;220345
2023;15;CIUDAD LINEAL;Número de Habitantes;Hombres;100759
2023;15;CIUDAD LINEAL;Número de Habitantes;Mujeres;119586
2019;16;HORTALEZA;Número de Habitantes;TOTAL;188267
2019;16;HORTALEZA;Número de Habitantes;Hombres;89307
2019;16;HORTALEZA;Número de Habitantes;Mujeres;98960
2020;16;HORTALEZA;Número de Habitantes;TOTAL;193910
2020;16;HORTALEZA;Número de Habitantes;Hombres;91939
2020;16;HORTALEZA;Número de Habitantes;Mujeres;101971
2021;16;HORTALEZA;Número de Habitantes;TOTAL;193910
2021;16;HORTALEZA;Número de Habitantes;Hombres;91939
2021;16;HORTALEZA;Número de Habitantes;Mujeres;101971
2022;16;HORTALEZA;Número de Habitantes;TOTAL;195017
2022;16;HORTALEZA;Número de Habitantes;Hombres;92532
2022;16;HORTALEZA;Número de Habitantes;Mujeres;102485
2023;16;HORTALEZA;Número de Habitantes;TOTAL;198391
2023;16;HORTALEZA;Número de Habitantes;Hombres;94100
2023;16;HORTALEZA;Número de Habitantes;Mujeres;104291
2019;17;VILLAVERDE;Número de Habitantes;TOTAL;148883
2019;17;VILLAVERDE;Número de Habitantes;Hombres;71017
2019;17;VILLAVERDE;Número de Habitantes;Mujeres;77866
2020;17;VILLAVERDE;Número de Habitantes;TOTAL;155450
2020;17;VILLAVERDE;Número de Habitantes;Hombres;74242
2020;17;VILLAVERDE;Número de Habitantes;Mujeres;81208
2021;17;VILLAVERDE;Número de Habitantes;TOTAL;155450
2021;17;VILLAVERDE;Número de Habitantes;Hombres;74242
2021;17;VILLAVERDE;Número de Habitantes;Mujeres;81208
2022;17;VILLAVERDE;Número de Habitantes;TOTAL;153829
2022;17;VILLAVERDE;Número de Habitantes;Hombres;73598
2022;17;VILLAVERDE;Número de Habitantes;Mujeres;80231
2023;17;VILLAVERDE;Número de Habitantes;TOTAL;159038
2023;17;VILLAVERDE;Número de Habitantes;Hombres;76131
2023;17;VILLAVERDE;Número de Habitantes;Mujeres;82907
2019;18;VILLA DE VALLECAS;Número de Habitantes;TOTAL;110436
2019;18;VILLA DE VALLECAS;Número de Habitantes;Hombres;53675
2019;18;VILLA DE VALLECAS;Número de Habitantes;Mujeres;56761
2020;18;VILLA DE VALLECAS;Número de Habitantes;TOTAL;115175
2020;18;VILLA DE VALLECAS;Número de Habitantes;Hombres;55836
2020;18;VILLA DE VALLECAS;Número de Habitantes;Mujeres;59339
2021;18;VILLA DE VALLECAS;Número de Habitantes;TOTAL;115175
2021;18;VILLA DE VALLECAS;Número de Habitantes;Hombres;55836
2021;18;VILLA DE VALLECAS;Número de Habitantes;Mujeres;59339
2022;18;VILLA DE VALLECAS;Número de Habitantes;TOTAL;114817
2022;18;VILLA DE VALLECAS;Número de Habitantes;Hombres;55580
2022;18;VILLA DE VALLECAS;Número de Habitantes;Mujeres;59237
2023;18;VILLA DE VALLECAS;Número de Habitantes;TOTAL;117501
2023;18;VILLA DE VALLECAS;Número de Habitantes;Hombres;56726
2023;18;VILLA DE VALLECAS;Número de Habitantes;Mujeres;60775
2019;19;VICALVARO;Número de Habitantes;TOTAL;72126
2019;19;VICALVARO;Número de Habitantes;Hombres;34848
2019;19;VICALVARO;Número de Habitantes;Mujeres;37278
2020;19;VICALVARO;Número de Habitantes;TOTAL;75732
2020;19;VICALVARO;Número de Habitantes;Hombres;36618
2020;19;VICALVARO;Número de Habitantes;Mujeres;39114
2021;19;VICALVARO;Número de Habitantes;TOTAL;75732
2021;19;VICALVARO;Número de Habitantes;Hombres;36618
2021;19;VICALVARO;Número de Habitantes;Mujeres;39114
2022;19;VICALVARO;Número de Habitantes;TOTAL;79328
2022;19;VICALVARO;Número de Habitantes;Hombres;38437
2022;19;VICALVARO;Número de Habitantes;Mujeres;40891
2023;19;VICALVARO;Número de Habitantes;TOTAL;83804
2023;19;VICALVARO;Número de Habitantes;Hombres;40580
2023;19;VICALVARO;Número de Habitantes;Mujeres;43224
2019;20;SAN BLAS-CANILLEJAS;Número de Habitantes;TOTAL;158166
2019;20;SAN BLAS-CANILLEJAS;Número de Habitantes;Hombres;74743
2019;20;SAN BLAS-CANILLEJAS;Número de Habitantes;Mujeres;83423
2020;20;SAN BLAS-CANILLEJAS;Número de Habitantes;TOTAL;160951
2020;20;SAN BLAS-CANILLEJAS;Número de Habitantes;Hombres;76150
2020;20;SAN BLAS-CANILLEJAS;Número de Habitantes;Mujeres;84801
2021;20;SAN BLAS-CANILLEJAS;Número de Habitantes;TOTAL;160951
2021;20;SAN BLAS-CANILLEJAS;Número de Habitantes;Hombres;76150
2021;20;SAN BLAS-CANILLEJAS;Número de Habitantes;Mujeres;84801
2022;20;SAN BLAS-CANILLEJAS;Número de Habitantes;TOTAL;158783
2022;20;SAN BLAS-CANILLEJAS;Número de Habitantes;Hombres;75082
2022;20;SAN BLAS-CANILLEJAS;Número de Habitantes;Mujeres;83701
2023;20;SAN BLAS-CANILLEJAS;Número de Habitantes;TOTAL;161219
2023;20;SAN BLAS-CANILLEJAS;Número de Habitantes;Hombres;76154
2023;20;SAN BLAS-CANILLEJAS;Número de Habitantes;Mujeres;85065
2019;21;BARAJAS;Número de Habitantes;TOTAL;48972
2019;21;BARAJAS;Número de Habitantes;Hombres;23653
2019;21;BARAJAS;Número de Habitantes;Mujeres;25319
2020;21;BARAJAS;Número de Habitantes;TOTAL;50271
2020;21;BARAJAS;Número de Habitantes;Hombres;24262
2020;21;BARAJAS;Número de Habitantes;Mujeres;26009
2021;21;BARAJAS;Número de Habitantes;TOTAL;50271
2021;21;BARAJAS;Número de Habitantes;Hombres;24262
2021;21;BARAJAS;Número de Habitantes;Mujeres;26009
2022;21;BARAJAS;Número de Habitantes;TOTAL;48404
2022;21;BARAJAS;Número de Habitantes;Hombres;23275
2022;21;BARAJAS;Número de Habitantes;Mujeres;25129
2023;21;BARAJAS;Número de Habitantes;TOTAL;48646
2023;21;BARAJAS;Número de Habitantes;Hombres;23332
2023;21;BARAJAS;Número de Habitantes;Mujeres;25314
