YEAR;cod_distrito;distrito;categoría_1;indicador_nivel1;indicador_nivel2;valor_indicador
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Más Madrid;19095
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Partido Popular;71365
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;19892
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;4446
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;VOX;13722
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Censo;90595
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Más Madrid;18006
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Partido Popular;22102
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Ciudadanos;13513
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;5906
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;VOX;5946
2023;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Censo;91473
2023;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Ciudadanos;2096
2023;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Más Madrid;10521
2023;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Partido Popular;36516
2023;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;8408
2023;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;2516
2023;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;VOX;6977
2019;10;Latina;Resultados Elecciones Locales;Número de votos;Censo;175624
2019;10;Latina;Resultados Elecciones Locales;Número de votos;Más Madrid;36084
2019;10;Latina;Resultados Elecciones Locales;Número de votos;Partido Popular;27145
2019;10;Latina;Resultados Elecciones Locales;Número de votos;Ciudadanos;19357
2019;10;Latina;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;19615
2019;10;Latina;Resultados Elecciones Locales;Número de votos;VOX;8459
2023;10;Latina;Resultados Elecciones Locales;Número de votos;Censo;172548
2023;10;Latina;Resultados Elecciones Locales;Número de votos;Ciudadanos;2725
2023;10;Latina;Resultados Elecciones Locales;Número de votos;Más Madrid;24351
2023;10;Latina;Resultados Elecciones Locales;Número de votos;Partido Popular;45623
2023;10;Latina;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;22562
2023;10;Latina;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;6871
2023;10;Latina;Resultados Elecciones Locales;Número de votos;VOX;10177
2019;11;Carabanchel;Resultados Elecciones Locales;Número de votos;Censo;172660
2019;11;Carabanchel;Resultados Elecciones Locales;Número de votos;Más Madrid;35119
2019;11;Carabanchel;Resultados Elecciones Locales;Número de votos;Partido Popular;21098
2019;11;Carabanchel;Resultados Elecciones Locales;Número de votos;Ciudadanos;17546
2019;11;Carabanchel;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;18738
2019;11;Carabanchel;Resultados Elecciones Locales;Número de votos;VOX;7674
2023;11;Carabanchel;Resultados Elecciones Locales;Número de votos;Censo;171771
2023;11;Carabanchel;Resultados Elecciones Locales;Número de votos;Ciudadanos;2502
2023;11;Carabanchel;Resultados Elecciones Locales;Número de votos;Más Madrid;23735
2023;11;Carabanchel;Resultados Elecciones Locales;Número de votos;Partido Popular;39936
2023;11;Carabanchel;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;21714
2023;11;Carabanchel;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;6014
2023;11;Carabanchel;Resultados Elecciones Locales;Número de votos;VOX;9329
2019;12;Usera;Resultados Elecciones Locales;Número de votos;Censo;90673
2019;12;Usera;Resultados Elecciones Locales;Número de votos;Más Madrid;19146
2019;12;Usera;Resultados Elecciones Locales;Número de votos;Partido Popular;8285
2019;12;Usera;Resultados Elecciones Locales;Número de votos;Ciudadanos;7663
2019;12;Usera;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;11189
2019;12;Usera;Resultados Elecciones Locales;Número de votos;VOX;3331
2023;12;Usera;Resultados Elecciones Locales;Número de votos;Censo;90259
2023;12;Usera;Resultados Elecciones Locales;Número de votos;Ciudadanos;983
2023;12;Usera;Resultados Elecciones Locales;Número de votos;Más Madrid;13658
2023;12;Usera;Resultados Elecciones Locales;Número de votos;Partido Popular;17293
2023;12;Usera;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;11587
2023;12;Usera;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;3050
2023;12;Usera;Resultados Elecciones Locales;Número de votos;VOX;4634
2019;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;Censo;165323
2019;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;Más Madrid;38898
2019;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;Partido Popular;11571
