YEAR;cod_distrito;distrito;indicador_nivel1;indicador_nivel2;valor_indicador
2019;10;Latina;Número de Habitantes;TOTAL;238154.0
2019;10;Latina;Número de Habitantes;Hombres;110401.0
2019;10;Latina;Número de Habitantes;Mujeres;127753.0
2020;10;Latina;Número de Habitantes;TOTAL;241144.0
2020;10;Latina;Número de Habitantes;Hombres;111708.0
2020;10;Latina;Número de Habitantes;Mujeres;129436.0
2021;10;Latina;Número de Habitantes;TOTAL;241144.0
2021;10;Latina;Número de Habitantes;Hombres;111708.0
2021;10;Latina;Número de Habitantes;Mujeres;129436.0
2022;10;Latina;Número de Habitantes;TOTAL;237048.0
2022;10;Latina;Número de Habitantes;Hombres;109928.0
2022;10;Latina;Número de Habitantes;Mujeres;127120.0
2023;10; Latina;Número de Habitantes;TOTAL;241672.0
2023;10; Latina;Número de Habitantes;Hombres;112093.0
2023;10; Latina;Número de Habitantes;Mujeres;129579.0
2019;11;Carabanchel;Número de Habitantes;TOTAL;253040.0
2019;11;Carabanchel;Número de Habitantes;Hombres;117802.0
2019;11;Carabanchel;Número de Habitantes;Mujeres;135238.0
2020;11;Carabanchel;Número de Habitantes;TOTAL;259757.0
2020;11;Carabanchel;Número de Habitantes;Hombres;121138.0
2020;11;Carabanchel;Número de Habitantes;Mujeres;138619.0
2021;11;Carabanchel;Número de Habitantes;TOTAL;259757.0
2021;11;Carabanchel;Número de Habitantes;Hombres;121138.0
2021;11;Carabanchel;Número de Habitantes;Mujeres;138619.0
2022;11;Carabanchel;Número de Habitantes;TOTAL;255514.0
2022;11;Carabanchel;Número de Habitantes;Hombres;119381.0
2022;11;Carabanchel;Número de Habitantes;Mujeres;136133.0
2023;11; Carabanchel;Número de Habitantes;TOTAL;262339.0
2023;11; Carabanchel;Número de Habitantes;Hombres;122632.0
2023;11; Carabanchel;Número de Habitantes;Mujeres;139707.0
2019;12;Usera;Número de Habitantes;TOTAL;139501.0
2019;12;Usera;Número de Habitantes;Hombres;65781.0
2019;12;Usera;Número de Habitantes;Mujeres;73720.0
2020;12;Usera;Número de Habitantes;TOTAL;143087.0
2020;12;Usera;Número de Habitantes;Hombres;67514.0
2020;12;Usera;Número de Habitantes;Mujeres;75573.0
2021;12;Usera;Número de Habitantes;TOTAL;143087.0
2021;12;Usera;Número de Habitantes;Hombres;67514.0
2021;12;Usera;Número de Habitantes;Mujeres;75573.0
2022;12;Usera;Número de Habitantes;TOTAL;140808.0
2022;12;Usera;Número de Habitantes;Hombres;66532.0
2022;12;Usera;Número de Habitantes;Mujeres;74276.0
2023;12; Usera;Número de Habitantes;TOTAL;142746.0
2023;12; Usera;Número de Habitantes;Hombres;67538.0
2023;12; Usera;Número de Habitantes;Mujeres;75208.0
2019;13;Puente de Vallecas;Número de Habitantes;TOTAL;234770.0
2019;13;Puente de Vallecas;Número de Habitantes;Hombres;111183.0
2019;13;Puente de Vallecas;Número de Habitantes;Mujeres;123587.0
2020;13;Puente de Vallecas;Número de Habitantes;TOTAL;240067.0
2020;13;Puente de Vallecas;Número de Habitantes;Hombres;113828.0
2020;13;Puente de Vallecas;Número de Habitantes;Mujeres;126239.0
2021;13;Puente de Vallecas;Número de Habitantes;TOTAL;240067.0
2021;13;Puente de Vallecas;Número de Habitantes;Hombres;113828.0
2021;13;Puente de Vallecas;Número de Habitantes;Mujeres;126239.0
2022;13;Puente de Vallecas;Número de Habitantes;TOTAL;235638.0
2022;13;Puente de Vallecas;Número de Habitantes;Hombres;111748.0
2022;13;Puente de Vallecas;Número de Habitantes;Mujeres;123890.0
2023;13; Puente de Vallecas;Número de Habitantes;TOTAL;241603.0
2023;13; Puente de Vallecas;Número de Habitantes;Hombres;114542.0
2023;13; Puente de Vallecas;Número de Habitantes;Mujeres;127061.0
2019;14;Moratalaz;Número de Habitantes;TOTAL;94609.0
2019;14;Moratalaz;Número de Habitantes;Hombres;43209.0
2019;14;Moratalaz;Número de Habitantes;Mujeres;51400.0
2020;14;Moratalaz;Número de Habitantes;TOTAL;94203.0
2020;14;Moratalaz;Número de Habitantes;Hombres;42858.0
2020;14;Moratalaz;Número de Habitantes;Mujeres;51345.0
2021;14;Moratalaz;Número de Habitantes;TOTAL;94203.0
2021;14;Moratalaz;Número de Habitantes;Hombres;42858.0
2021;14;Moratalaz;Número de Habitantes;Mujeres;51345.0
2022;14;Moratalaz;Número de Habitantes;TOTAL;92390.0
2022;14;Moratalaz;Número de Habitantes;Hombres;42095.0
2022;14;Moratalaz;Número de Habitantes;Mujeres;50295.0
2023;14; Moratalaz;Número de Habitantes;TOTAL;92814.0
2023;14; Moratalaz;Número de Habitantes;Hombres;42212.0
2023;14; Moratalaz;Número de Habitantes;Mujeres;50602.0
2019;15;Ciudad Lineal;Número de Habitantes;TOTAL;216270.0
2019;15;Ciudad Lineal;Número de Habitantes;Hombres;98370.0
2019;15;Ciudad Lineal;Número de Habitantes;Mujeres;117900.0
2020;15;Ciudad Lineal;Número de Habitantes;TOTAL;217816.0
2020;15;Ciudad Lineal;Número de Habitantes;Hombres;99004.0
2020;15;Ciudad Lineal;Número de Habitantes;Mujeres;118812.0
2021;15;Ciudad Lineal;Número de Habitantes;TOTAL;217816.0
2021;15;Ciudad Lineal;Número de Habitantes;Hombres;99004.0
2021;15;Ciudad Lineal;Número de Habitantes;Mujeres;118812.0
2022;15;Ciudad Lineal;Número de Habitantes;TOTAL;213905.0
2022;15;Ciudad Lineal;Número de Habitantes;Hombres;97357.0
2022;15;Ciudad Lineal;Número de Habitantes;Mujeres;116548.0
2023;15; Ciudad Lineal;Número de Habitantes;TOTAL;220345.0
2023;15; Ciudad Lineal;Número de Habitantes;Hombres;100759.0
2023;15; Ciudad Lineal;Número de Habitantes;Mujeres;119586.0
2019;16;Hortaleza;Número de Habitantes;TOTAL;188267.0
2019;16;Hortaleza;Número de Habitantes;Hombres;89307.0
2019;16;Hortaleza;Número de Habitantes;Mujeres;98960.0
2020;16;Hortaleza;Número de Habitantes;TOTAL;193910.0
2020;16;Hortaleza;Número de Habitantes;Hombres;91939.0
2020;16;Hortaleza;Número de Habitantes;Mujeres;101971.0
2021;16;Hortaleza;Número de Habitantes;TOTAL;193910.0
2021;16;Hortaleza;Número de Habitantes;Hombres;91939.0
2021;16;Hortaleza;Número de Habitantes;Mujeres;101971.0
2022;16;Hortaleza;Número de Habitantes;TOTAL;195017.0
2022;16;Hortaleza;Número de Habitantes;Hombres;92532.0
2022;16;Hortaleza;Número de Habitantes;Mujeres;102485.0
2023;16; Hortaleza;Número de Habitantes;TOTAL;198391.0
2023;16; Hortaleza;Número de Habitantes;Hombres;94100.0
2023;16; Hortaleza;Número de Habitantes;Mujeres;104291.0
2019;17;Villaverde;Número de Habitantes;TOTAL;148883.0
2019;17;Villaverde;Número de Habitantes;Hombres;71017.0
2019;17;Villaverde;Número de Habitantes;Mujeres;77866.0
2020;17;Villaverde;Número de Habitantes;TOTAL;155450.0
2020;17;Villaverde;Número de Habitantes;Hombres;74242.0
2020;17;Villaverde;Número de Habitantes;Mujeres;81208.0
2021;17;Villaverde;Número de Habitantes;TOTAL;155450.0
2021;17;Villaverde;Número de Habitantes;Hombres;74242.0
2021;17;Villaverde;Número de Habitantes;Mujeres;81208.0
2022;17;Villaverde;Número de Habitantes;TOTAL;153829.0
2022;17;Villaverde;Número de Habitantes;Hombres;73598.0
2022;17;Villaverde;Número de Habitantes;Mujeres;80231.0
2023;17; Villaverde;Número de Habitantes;TOTAL;159038.0
2023;17; Villaverde;Número de Habitantes;Hombres;76131.0
2023;17; Villaverde;Número de Habitantes;Mujeres;82907.0
2019;18;Villa de Vallecas;Número de Habitantes;TOTAL;110436.0
2019;18;Villa de Vallecas;Número de Habitantes;Hombres;53675.0
2019;18;Villa de Vallecas;Número de Habitantes;Mujeres;56761.0
2020;18;Villa de Vallecas;Número de Habitantes;TOTAL;115175.0
2020;18;Villa de Vallecas;Número de Habitantes;Hombres;55836.0
2020;18;Villa de Vallecas;Número de Habitantes;Mujeres;59339.0
2021;18;Villa de Vallecas;Número de Habitantes;TOTAL;115175.0
2021;18;Villa de Vallecas;Número de Habitantes;Hombres;55836.0
2021;18;Villa de Vallecas;Número de Habitantes;Mujeres;59339.0
2022;18;Villa de Vallecas;Número de Habitantes;TOTAL;114817.0
2022;18;Villa de Vallecas;Número de Habitantes;Hombres;55580.0
2022;18;Villa de Vallecas;Número de Habitantes;Mujeres;59237.0
2023;18; Villa de Vallecas;Número de Habitantes;TOTAL;117501.0
2023;18; Villa de Vallecas;Número de Habitantes;Hombres;56726.0
2023;18; Villa de Vallecas;Número de Habitantes;Mujeres;60775.0
2019;19;Vicálvaro;Número de Habitantes;TOTAL;72126.0
2019;19;Vicálvaro;Número de Habitantes;Hombres;34848.0
2019;19;Vicálvaro;Número de Habitantes;Mujeres;37278.0
2020;19;Vicálvaro;Número de Habitantes;TOTAL;75732.0
2020;19;Vicálvaro;Número de Habitantes;Hombres;36618.0
2020;19;Vicálvaro;Número de Habitantes;Mujeres;39114.0
2021;19;Vicálvaro;Número de Habitantes;TOTAL;75732.0
2021;19;Vicálvaro;Número de Habitantes;Hombres;36618.0
2021;19;Vicálvaro;Número de Habitantes;Mujeres;39114.0
2022;19;Vicálvaro;Número de Habitantes;TOTAL;79328.0
2022;19;Vicálvaro;Número de Habitantes;Hombres;38437.0
2022;19;Vicálvaro;Número de Habitantes;Mujeres;40891.0
2023;19; Vicálvaro;Número de Habitantes;TOTAL;83804.0
2023;19; Vicálvaro;Número de Habitantes;Hombres;40580.0
2023;19; Vicálvaro;Número de Habitantes;Mujeres;43224.0
2019;20;San Blas-Canillejas;Número de Habitantes;TOTAL;158166.0
2019;20;San Blas-Canillejas;Número de Habitantes;Hombres;74743.0
2019;20;San Blas-Canillejas;Número de Habitantes;Mujeres;83423.0
2020;20;San Blas-Canillejas;Número de Habitantes;TOTAL;160951.0
2020;20;San Blas-Canillejas;Número de Habitantes;Hombres;76150.0
2020;20;San Blas-Canillejas;Número de Habitantes;Mujeres;84801.0
2021;20;San Blas-Canillejas;Número de Habitantes;TOTAL;160951.0
2021;20;San Blas-Canillejas;Número de Habitantes;Hombres;76150.0
2021;20;San Blas-Canillejas;Número de Habitantes;Mujeres;84801.0
2022;20;San Blas-Canillejas;Número de Habitantes;TOTAL;158783.0
2022;20;San Blas-Canillejas;Número de Habitantes;Hombres;75082.0
2022;20;San Blas-Canillejas;Número de Habitantes;Mujeres;83701.0
2023;20;San Blas-Canillejas;Número de Habitantes;TOTAL;161219.0
2023;20;San Blas-Canillejas;Número de Habitantes;Hombres;76154.0
2023;20;San Blas-Canillejas;Número de Habitantes;Mujeres;85065.0
2019;21;Barajas;Número de Habitantes;TOTAL;48972.0
2019;21;Barajas;Número de Habitantes;Hombres;23653.0
2019;21;Barajas;Número de Habitantes;Mujeres;25319.0
2020;21;Barajas;Número de Habitantes;TOTAL;50271.0
2020;21;Barajas;Número de Habitantes;Hombres;24262.0
2020;21;Barajas;Número de Habitantes;Mujeres;26009.0
2021;21;Barajas;Número de Habitantes;TOTAL;50271.0
2021;21;Barajas;Número de Habitantes;Hombres;24262.0
2021;21;Barajas;Número de Habitantes;Mujeres;26009.0
2022;21;Barajas;Número de Habitantes;TOTAL;48404.0
2022;21;Barajas;Número de Habitantes;Hombres;23275.0
2022;21;Barajas;Número de Habitantes;Mujeres;25129.0
2023;21; Barajas;Número de Habitantes;TOTAL;48646.0
2023;21; Barajas;Número de Habitantes;Hombres;23332.0
2023;21; Barajas;Número de Habitantes;Mujeres;25314.0
